frame_no,detection,label,confidence,x_min,y_min,x_max,y_max
110,0,texting,0.29
110,1,driving car,0.25
110,2,changing oil,0.1
110,3,finger snapping,0.09
110,4,smoking,0.07
111,0,texting,0.28
111,1,driving car,0.26
111,2,changing oil,0.11
111,3,finger snapping,0.09
111,4,smoking,0.07
112,0,texting,0.27
112,1,driving car,0.27
112,2,changing oil,0.1
112,3,finger snapping,0.08
112,4,smoking,0.07
113,0,texting,0.28
113,1,driving car,0.27
113,2,changing oil,0.09
113,3,finger snapping,0.07
113,4,smoking,0.07
114,0,driving car,0.27
114,1,texting,0.26
114,2,changing oil,0.1
114,3,finger snapping,0.09
114,4,smoking,0.07
115,0,texting,0.26
115,1,driving car,0.26
115,2,changing oil,0.11
115,3,finger snapping,0.09
115,4,smoking,0.06
116,0,texting,0.27
116,1,driving car,0.26
116,2,changing oil,0.1
116,3,finger snapping,0.08
116,4,smoking,0.07
117,0,texting,0.29
117,1,driving car,0.26
117,2,changing oil,0.08
117,3,smoking,0.07
117,4,finger snapping,0.07
118,0,texting,0.29
118,1,driving car,0.25
118,2,changing oil,0.09
118,3,finger snapping,0.09
118,4,smoking,0.07
119,0,texting,0.3
119,1,driving car,0.24
119,2,changing oil,0.09
119,3,finger snapping,0.09
119,4,smoking,0.06
120,0,texting,0.33
120,1,driving car,0.23
120,2,changing oil,0.08
120,3,finger snapping,0.07
120,4,smoking,0.07
121,0,texting,0.35
121,1,driving car,0.25
121,2,changing oil,0.07
121,3,smoking,0.06
121,4,finger snapping,0.05
122,0,texting,0.36
122,1,driving car,0.25
122,2,changing oil,0.08
122,3,finger snapping,0.06
122,4,smoking,0.06
123,0,texting,0.37
123,1,driving car,0.24
123,2,changing oil,0.09
123,3,finger snapping,0.07
123,4,smoking,0.06
124,0,texting,0.39
124,1,driving car,0.24
124,2,changing oil,0.08
124,3,finger snapping,0.07
124,4,smoking,0.06
125,0,texting,0.41
125,1,driving car,0.25
125,2,changing oil,0.07
125,3,smoking,0.05
125,4,finger snapping,0.04
126,0,texting,0.4
126,1,driving car,0.25
126,2,changing oil,0.08
126,3,finger snapping,0.07
126,4,smoking,0.04
127,0,texting,0.4
127,1,driving car,0.26
127,2,changing oil,0.09
127,3,finger snapping,0.07
127,4,smoking,0.04
128,0,texting,0.43
128,1,driving car,0.25
128,2,changing oil,0.08
128,3,finger snapping,0.06
128,4,smoking,0.04
129,0,texting,0.43
129,1,driving car,0.26
129,2,changing oil,0.07
129,3,finger snapping,0.04
129,4,smoking,0.03
130,0,texting,0.41
130,1,driving car,0.26
130,2,changing oil,0.08
130,3,finger snapping,0.07
130,4,smoking,0.03
131,0,texting,0.41
131,1,driving car,0.26
131,2,changing oil,0.08
131,3,finger snapping,0.06
131,4,smoking,0.03
132,0,texting,0.44
132,1,driving car,0.25
132,2,changing oil,0.07
132,3,finger snapping,0.06
132,4,smoking,0.03
133,0,texting,0.45
133,1,driving car,0.25
133,2,changing oil,0.07
133,3,finger snapping,0.04
133,4,smoking,0.03
134,0,texting,0.45
134,1,driving car,0.24
134,2,changing oil,0.08
134,3,finger snapping,0.06
134,4,smoking,0.02
135,0,texting,0.44
135,1,driving car,0.24
135,2,changing oil,0.09
135,3,finger snapping,0.06
135,4,smoking,0.03
136,0,texting,0.46
136,1,driving car,0.23
136,2,changing oil,0.08
136,3,finger snapping,0.06
136,4,smoking,0.02
137,0,texting,0.47
137,1,driving car,0.23
137,2,changing oil,0.08
137,3,finger snapping,0.04
137,4,smoking,0.02
138,0,texting,0.46
138,1,driving car,0.21
138,2,changing oil,0.1
138,3,finger snapping,0.07
138,4,smoking,0.02
139,0,texting,0.44
139,1,driving car,0.22
139,2,changing oil,0.12
139,3,finger snapping,0.06
139,4,smoking,0.02
140,0,texting,0.46
140,1,driving car,0.21
140,2,changing oil,0.1
140,3,finger snapping,0.06
140,4,smoking,0.02
141,0,texting,0.46
141,1,driving car,0.2
141,2,changing oil,0.11
141,3,finger snapping,0.05
141,4,counting money,0.02
142,0,texting,0.45
142,1,driving car,0.19
142,2,changing oil,0.13
142,3,finger snapping,0.07
142,4,tapping guitar,0.02
143,0,texting,0.41
143,1,driving car,0.2
143,2,changing oil,0.16
143,3,finger snapping,0.07
143,4,tapping guitar,0.02
144,0,texting,0.44
144,1,driving car,0.19
144,2,changing oil,0.15
144,3,finger snapping,0.07
144,4,counting money,0.01
145,0,texting,0.44
145,1,driving car,0.18
145,2,changing oil,0.14
145,3,finger snapping,0.06
145,4,counting money,0.02
146,0,texting,0.43
146,1,driving car,0.17
146,2,changing oil,0.15
146,3,finger snapping,0.09
146,4,tapping guitar,0.02
147,0,texting,0.4
147,1,driving car,0.18
147,2,changing oil,0.17
147,3,finger snapping,0.09
147,4,checking tires,0.02
148,0,texting,0.43
148,1,driving car,0.16
148,2,changing oil,0.15
148,3,finger snapping,0.11
148,4,checking tires,0.02
149,0,texting,0.43
149,1,driving car,0.16
149,2,changing oil,0.14
149,3,finger snapping,0.12
149,4,counting money,0.02
150,0,texting,0.44
150,1,changing oil,0.16
150,2,driving car,0.15
150,3,finger snapping,0.1
150,4,tapping guitar,0.02
151,0,texting,0.41
151,1,changing oil,0.17
151,2,driving car,0.15
151,3,finger snapping,0.1
151,4,checking tires,0.02
152,0,texting,0.43
152,1,changing oil,0.15
152,2,finger snapping,0.14
152,3,driving car,0.13
152,4,checking tires,0.02
153,0,texting,0.42
153,1,finger snapping,0.17
153,2,changing oil,0.14
153,3,driving car,0.12
153,4,counting money,0.02
154,0,texting,0.42
154,1,changing oil,0.16
154,2,finger snapping,0.15
154,3,driving car,0.11
154,4,checking tires,0.02
155,0,texting,0.38
155,1,changing oil,0.18
155,2,finger snapping,0.16
155,3,driving car,0.13
155,4,checking tires,0.02
156,0,texting,0.38
156,1,finger snapping,0.2
156,2,changing oil,0.15
156,3,driving car,0.12
156,4,checking tires,0.02
157,0,texting,0.37
157,1,finger snapping,0.23
157,2,changing oil,0.15
157,3,driving car,0.1
157,4,checking tires,0.02
158,0,texting,0.37
158,1,finger snapping,0.2
158,2,changing oil,0.17
158,3,driving car,0.1
158,4,checking tires,0.02
159,0,texting,0.32
159,1,finger snapping,0.22
159,2,changing oil,0.18
159,3,driving car,0.11
159,4,checking tires,0.02
160,0,texting,0.31
160,1,finger snapping,0.27
160,2,changing oil,0.15
160,3,driving car,0.11
160,4,checking tires,0.02
161,0,finger snapping,0.31
161,1,texting,0.3
161,2,changing oil,0.15
161,3,driving car,0.09
161,4,checking tires,0.02
162,0,finger snapping,0.29
162,1,texting,0.29
162,2,changing oil,0.17
162,3,driving car,0.09
162,4,checking tires,0.02
163,0,finger snapping,0.31
163,1,texting,0.25
163,2,changing oil,0.18
163,3,driving car,0.11
163,4,checking tires,0.02
164,0,finger snapping,0.36
164,1,texting,0.24
164,2,changing oil,0.15
164,3,driving car,0.1
164,4,checking tires,0.02
165,0,finger snapping,0.38
165,1,texting,0.23
165,2,changing oil,0.15
165,3,driving car,0.09
165,4,checking tires,0.02
166,0,finger snapping,0.36
166,1,texting,0.24
166,2,changing oil,0.17
166,3,driving car,0.08
166,4,checking tires,0.02
167,0,finger snapping,0.37
167,1,texting,0.2
167,2,changing oil,0.19
167,3,driving car,0.09
167,4,checking tires,0.02
168,0,finger snapping,0.42
168,1,texting,0.2
168,2,changing oil,0.16
168,3,driving car,0.08
168,4,checking tires,0.02
169,0,finger snapping,0.45
169,1,texting,0.2
169,2,changing oil,0.15
